GREEDY-1,GREEDY-2,GREEDY-NEW,ILP-1,ILP-2,ILP-3,NEW-1,NEW-2,PBIG,CMSA-PBIG,LSRR
3870.6,3646.4,3506.2,3261.1,3261.1,3261.1,3261.1,3261.1,3261.1,3261.1,3261.1
3798.8,3378.1,3248.7,2942.9,2917.5,2884.5,2882.5,2882.5,2882.5,2882.5,2882.5
3766.6,3388.1,3175.6,2878.5,2841.8,2876.7,2828,2828,2828,2828,2828
7364.9,7514.3,7471.2,5731.8,5731.8,5731.8,5731.8,5731.8,5731.8,5740,5731.8
2880.1,2724.2,2808.3,1981.8,1981.8,1981.8,1981.8,1981.8,1981.8,1981.8,1981.8
1741,1832.3,1718.6,940.5,940.5,940.5,940.5,940.5,968.8,940.5,940.5
29011.6,24998.3,21463.6,19179.4,19179.4,19179.4,19179.4,19179.4,19313.2,19179.4,19179.4
35312.1,28647.1,26572.3,22519.7,22325.5,22065.9,22065.9,22065.9,22108.3,22065.9,22065.9
37929.4,30503.4,27020.8,24295.9,23717.6,24009.2,23717.6,23717.6,23900,23717.6,23717.6
18408.3,16208.4,15574.6,14942.7,15016.4,15457.2,13726.8,13565,13341.5,13301.2,13269.4
18548.8,15882.9,15613.7,19028.3,15668.7,16788.4,13375.1,13352.3,12943.1,12783.3,12764
18311.4,15497.8,16497.8,18602.1,15468.3,18948.1,13379.3,13253.1,13065.5,12954.8,12887.5
6807.8,7087.8,6974.8,4377,4377,4381.6,4377,4377,4400.9,4389.7,4377
3526.6,3121.1,3553.5,2619.3,2596.4,2665.1,2573.7,2573.7,2573.7,2573.7,2573.7
2632.2,2830.7,2438,3933.7,2205.3,2305.3,2181.6,2181.6,2181.6,2181.6,2181.6
177816.7,148267,136384.9,128902.8,128784.8,129521.2,116047.1,115232,112404.8,111638.2,110988.7
181739.2,149980.2,148916.9,175979.6,147009,162967.5,124047.4,122879.2,118765.6,117439.8,117020.2
190996.4,155128.6,159464,180632.5,149305.9,188131.4,125499.8,126997.4,122977.3,120883.7,120381.3
36214.6,32393.4,31882,38289.8,33123.7,38904.3,27649.2,27066.6,25892.9,25719,25563.3
36750.4,31462.5,31698.7,61533.9,33744.7,38610.1,33758.1,35032.5,25570.6,25138.9,25111.7
36913.2,30752.1,33603.5,121566.1,48329.9,38549.2,50289.4,34725.5,25714.2,25345,25114.3
8552.3,8613.7,8193.4,6071.9,6614.5,6144.7,5830.7,5830.7,5869,5890.4,5830.7
4977.4,5146.2,4901.6,11493,12485.5,4528.1,4356.6,4279.4,4281.2,4283.6,4279.4
4656.5,4693.1,4417.7,17662.5,9742.4,6214.7,4211.3,3975.1,3974.5,3974.3,3970.8
358550.4,305034.7,289269.1,362985.2,311510.5,350946.2,252929.5,255236.5,236226.6,233127.8,230030.4
357735.8,295099.4,307039.9,347041.7,326670.5,375956.1,375018.2,362021.8,239560.7,238364.5,236439.8
369051.9,303712.9,323414.4,1232171.4,476998.4,370791.1,498328.3,360711.3,244685.7,246171.8,243178.8
